### common ###,
Chinese,中文
Japanese,日本語
Submitted,送信
Cancel,取消
Upload,アップロード
Download,ダウンロード
Close,閉じる
Today,本日
Yesterday,昨日
Day,Day
Week,Week
Month,Month
Hint,説明
Error,エラー
Submit,送信
Operation,操作
Modify,訂正
Delete,削除
Add,増加
Client,端末
Team,チーム
System,システム
Contact,コンタクト
Default,デフォルト
Standard,標準
Custom,カスタマイズ
Person,人

Casual look,見る
content creation platform,コンテンツ作成
Welecome,ようこそ
Hello,ようこそ
Login,ログイン
Logout,ログアウト
All Rights Reserved,無断複写·転載を禁じます
ICP NO,
User name,ユーザー名
Password,パスワード

Not permitted to visit,アクセス禁止
Confirm,確認
Index title,
